episode,dqn_reward,ppo_reward,base_reward
1,52.19999999999992,52.19999999999992,-5.0
2,60.49999999999992,60.49999999999992,-5.0
3,56.699999999999925,56.699999999999925,-5.0
4,53.69999999999991,53.69999999999991,-5.0
5,63.399999999999935,63.399999999999935,-5.0
6,75.39999999999999,75.39999999999999,-5.0
7,55.99999999999992,55.99999999999992,-5.0
8,57.79999999999993,57.79999999999993,-5.0
9,51.19999999999995,51.19999999999995,-5.0
10,57.89999999999991,57.89999999999991,-5.0
11,61.199999999999925,61.199999999999925,-5.0
12,52.599999999999916,52.599999999999916,-5.0
13,66.19999999999993,66.19999999999993,-5.0
14,62.39999999999991,62.39999999999991,-5.0
15,48.19999999999994,48.19999999999994,-5.0
16,56.89999999999993,56.89999999999993,-5.0
17,61.999999999999915,61.999999999999915,-5.0
18,48.79999999999995,48.79999999999995,-5.0
19,58.799999999999926,58.799999999999926,-5.0
20,57.299999999999905,57.299999999999905,-5.0
21,45.099999999999966,45.099999999999966,-5.0
22,46.49999999999997,46.49999999999997,-5.0
23,54.89999999999992,54.89999999999992,-5.0
24,50.59999999999992,50.59999999999992,-5.0
25,59.29999999999992,59.29999999999992,-5.0
26,58.99999999999993,58.99999999999993,-5.0
27,74.49999999999997,74.49999999999997,-5.0
28,54.79999999999993,54.79999999999993,-5.0
29,59.299999999999955,59.299999999999955,-5.0
30,52.69999999999993,52.69999999999993,-5.0
31,59.29999999999993,59.29999999999993,-5.0
32,61.49999999999991,61.49999999999991,-5.0
33,58.89999999999995,58.89999999999995,-5.0
34,62.59999999999992,62.59999999999992,-5.0
35,64.59999999999994,64.59999999999994,-5.0
36,60.59999999999993,60.59999999999993,-5.0
37,56.59999999999992,56.59999999999992,-5.0
38,66.59999999999995,66.59999999999995,-5.0
39,53.39999999999992,53.39999999999992,-5.0
40,54.59999999999992,54.59999999999992,-5.0
41,58.29999999999991,58.29999999999991,-5.0
42,56.29999999999992,56.29999999999992,-5.0
43,50.79999999999994,50.79999999999994,-5.0
44,61.69999999999993,61.69999999999993,-5.0
45,54.199999999999925,54.199999999999925,-5.0
46,50.39999999999996,50.39999999999996,-5.0
47,54.49999999999995,54.49999999999995,-5.0
48,72.19999999999997,72.19999999999997,-5.0
49,48.599999999999966,48.599999999999966,-5.0
50,64.69999999999993,64.69999999999993,-5.0
51,64.89999999999993,64.89999999999993,-5.0
52,64.99999999999991,64.99999999999991,-5.0
53,64.19999999999992,64.19999999999992,-5.0
54,60.09999999999993,60.09999999999993,-5.0
55,68.49999999999994,68.49999999999994,-5.0
56,72.09999999999995,72.09999999999995,-5.0
57,58.599999999999945,58.599999999999945,-5.0
58,57.399999999999935,57.399999999999935,-5.0
59,62.39999999999995,62.39999999999995,-5.0
60,52.89999999999994,52.89999999999994,-5.0
61,72.9,72.9,-5.0
62,60.899999999999935,60.899999999999935,-5.0
63,56.09999999999995,56.09999999999995,-5.0
64,57.89999999999992,57.89999999999992,-5.0
65,60.49999999999992,60.49999999999992,-5.0
66,66.39999999999993,66.39999999999993,-5.0
67,59.099999999999945,59.099999999999945,-5.0
68,67.09999999999995,67.09999999999995,-5.0
69,61.59999999999994,61.59999999999994,-5.0
70,55.899999999999935,55.899999999999935,-5.0
71,51.59999999999994,51.59999999999994,-5.0
72,64.99999999999991,64.99999999999991,-5.0
73,64.59999999999991,64.59999999999991,-5.0
74,71.69999999999996,71.69999999999996,-5.0
75,41.29999999999996,41.29999999999996,-5.0
76,66.59999999999994,66.59999999999994,-5.0
77,65.79999999999993,65.79999999999993,-5.0
78,57.19999999999991,57.19999999999991,-5.0
79,67.69999999999992,67.69999999999992,-5.0
80,67.09999999999998,67.09999999999998,-5.0
81,66.39999999999995,66.39999999999995,-5.0
82,63.19999999999993,63.19999999999993,-5.0
83,59.39999999999992,59.39999999999992,-5.0
84,49.09999999999994,49.09999999999994,-5.0
85,59.99999999999992,59.99999999999992,-5.0
86,66.79999999999995,66.79999999999995,-5.0
87,61.99999999999995,61.99999999999995,-5.0
88,50.79999999999997,50.79999999999997,-5.0
89,41.19999999999997,41.19999999999997,-5.0
90,53.39999999999995,53.39999999999995,-5.0
91,60.09999999999996,60.09999999999996,-5.0
92,50.89999999999993,50.89999999999993,-5.0
93,56.599999999999966,56.599999999999966,-5.0
94,61.499999999999936,61.499999999999936,-5.0
95,74.30000000000003,74.30000000000003,-5.0
96,63.699999999999925,63.699999999999925,-5.0
97,67.09999999999994,67.09999999999994,-5.0
98,73.6,73.6,-5.0
99,65.19999999999992,65.19999999999992,-5.0
100,55.999999999999936,55.999999999999936,-5.0
101,55.099999999999945,55.099999999999945,-5.0
102,54.399999999999906,54.399999999999906,-5.0
103,63.49999999999994,63.49999999999994,-5.0
104,66.29999999999995,66.29999999999995,-5.0
105,50.19999999999996,50.19999999999996,-5.0
106,68.89999999999995,68.89999999999995,-5.0
107,58.999999999999936,58.999999999999936,-5.0
108,49.39999999999993,49.39999999999993,-5.0
109,51.99999999999996,51.99999999999996,-5.0
110,41.899999999999956,41.899999999999956,-5.0
111,45.599999999999945,45.599999999999945,-5.0
112,68.79999999999997,68.79999999999997,-5.0
113,70.59999999999998,70.59999999999998,-5.0
114,61.59999999999994,61.59999999999994,-5.0
115,76.19999999999999,76.19999999999999,-5.0
116,69.5,69.5,-5.0
117,73.0,73.0,-5.0
118,64.49999999999994,64.49999999999994,-5.0
119,81.60000000000001,81.60000000000001,-5.0
120,53.699999999999946,53.699999999999946,-5.0
121,60.19999999999991,60.19999999999991,-5.0
122,68.69999999999997,68.69999999999997,-5.0
123,69.59999999999997,69.59999999999997,-5.0
124,64.09999999999994,64.09999999999994,-5.0
125,73.69999999999997,73.69999999999997,-5.0
126,46.99999999999993,46.99999999999993,-5.0
127,65.59999999999992,65.59999999999992,-5.0
128,63.09999999999995,63.09999999999995,-5.0
129,55.499999999999936,55.499999999999936,-5.0
130,52.099999999999945,52.099999999999945,-5.0
131,59.09999999999995,59.09999999999995,-5.0
132,38.39999999999999,38.39999999999999,-5.0
133,54.29999999999997,54.29999999999997,-5.0
134,76.1,76.1,-5.0
135,55.89999999999995,55.89999999999995,-5.0
136,54.39999999999994,54.39999999999994,-5.0
137,51.49999999999995,51.49999999999995,-5.0
138,50.39999999999995,50.39999999999995,-5.0
139,67.59999999999997,67.59999999999997,-5.0
140,61.59999999999993,61.59999999999993,-5.0
141,62.89999999999992,62.89999999999992,-5.0
142,65.39999999999995,65.39999999999995,-5.0
143,55.399999999999935,55.399999999999935,-5.0
144,63.99999999999995,63.99999999999995,-5.0
145,52.99999999999993,52.99999999999993,-5.0
146,61.19999999999995,61.19999999999995,-5.0
147,68.19999999999997,68.19999999999997,-5.0
148,54.69999999999995,54.69999999999995,-5.0
149,60.49999999999994,60.49999999999994,-5.0
150,52.59999999999995,52.59999999999995,-5.0
151,40.89999999999998,40.89999999999998,-5.0
152,68.89999999999993,68.89999999999993,-5.0
153,55.299999999999955,55.299999999999955,-5.0
154,48.499999999999964,48.499999999999964,-5.0
155,56.09999999999995,56.09999999999995,-5.0
156,51.79999999999996,51.79999999999996,-5.0
157,54.499999999999915,54.499999999999915,-5.0
158,63.19999999999994,63.19999999999994,-5.0
159,65.29999999999995,65.29999999999995,-5.0
160,64.79999999999995,64.79999999999995,-5.0
161,60.49999999999993,60.49999999999993,-5.0
162,60.499999999999964,60.499999999999964,-5.0
163,60.19999999999994,60.19999999999994,-5.0
164,69.89999999999998,69.89999999999998,-5.0
165,44.99999999999995,44.99999999999995,-5.0
166,62.09999999999995,62.09999999999995,-5.0
167,52.89999999999996,52.89999999999996,-5.0
168,60.799999999999955,60.799999999999955,-5.0
169,65.59999999999997,65.59999999999997,-5.0
170,48.79999999999995,48.79999999999995,-5.0
171,65.89999999999992,65.89999999999992,-5.0
172,43.29999999999997,43.29999999999997,-5.0
173,62.79999999999993,62.79999999999993,-5.0
174,40.19999999999999,40.19999999999999,-5.0
175,60.99999999999996,60.99999999999996,-5.0
176,55.499999999999936,55.499999999999936,-5.0
177,70.6,70.6,-5.0
178,74.49999999999999,74.49999999999999,-5.0
179,57.799999999999955,57.799999999999955,-5.0
180,61.99999999999994,61.99999999999994,-5.0
181,46.799999999999955,46.799999999999955,-5.0
182,54.79999999999994,54.79999999999994,-5.0
183,53.19999999999992,53.19999999999992,-5.0
184,61.99999999999992,61.99999999999992,-5.0
185,73.80000000000001,73.80000000000001,-5.0
186,75.69999999999995,75.69999999999995,-5.0
187,69.89999999999998,69.89999999999998,-5.0
188,54.39999999999995,54.39999999999995,-5.0
189,54.29999999999997,54.29999999999997,-5.0
190,61.29999999999992,61.29999999999992,-5.0
191,57.39999999999993,57.39999999999993,-5.0
192,65.89999999999996,65.89999999999996,-5.0
193,43.599999999999966,43.599999999999966,-5.0
194,64.59999999999997,64.59999999999997,-5.0
195,76.60000000000001,76.60000000000001,-5.0
196,70.79999999999997,70.79999999999997,-5.0
197,55.299999999999955,55.299999999999955,-5.0
198,75.39999999999998,75.39999999999998,-5.0
199,69.09999999999994,69.09999999999994,-5.0
200,55.599999999999945,55.599999999999945,-5.0
201,49.69999999999997,49.69999999999997,-5.0
202,52.4999999999999,52.4999999999999,-5.0
203,68.79999999999995,68.79999999999995,-5.0
204,62.499999999999964,62.499999999999964,-5.0
205,75.69999999999999,75.69999999999999,-5.0
206,56.69999999999996,56.69999999999996,-5.0
207,58.09999999999993,58.09999999999993,-5.0
208,60.69999999999995,60.69999999999995,-5.0
209,67.89999999999995,67.89999999999995,-5.0
210,64.99999999999996,64.99999999999996,-5.0
211,55.29999999999994,55.29999999999994,-5.0
212,74.09999999999998,74.09999999999998,-5.0
213,71.19999999999997,71.19999999999997,-5.0
214,62.19999999999995,62.19999999999995,-5.0
215,61.79999999999995,61.79999999999995,-5.0
216,47.39999999999995,47.39999999999995,-5.0
217,49.39999999999998,49.39999999999998,-5.0
218,70.29999999999997,70.29999999999997,-5.0
219,69.59999999999998,69.59999999999998,-5.0
220,76.60000000000001,76.60000000000001,-5.0
221,64.09999999999995,64.09999999999995,-5.0
222,52.999999999999964,52.999999999999964,-5.0
223,64.39999999999998,64.39999999999998,-5.0
224,51.999999999999964,51.999999999999964,-5.0
225,73.39999999999995,73.39999999999995,-5.0
226,76.09999999999998,76.09999999999998,-5.0
227,68.69999999999995,68.69999999999995,-5.0
228,60.49999999999996,60.49999999999996,-5.0
229,63.699999999999946,63.699999999999946,-5.0
230,71.8,71.8,-5.0
231,52.89999999999993,52.89999999999993,-5.0
232,74.59999999999997,74.59999999999997,-5.0
233,56.59999999999993,56.59999999999993,-5.0
234,73.59999999999998,73.59999999999998,-5.0
235,70.7,70.7,-5.0
236,63.29999999999997,63.29999999999997,-5.0
237,52.099999999999945,52.099999999999945,-5.0
238,61.49999999999993,61.49999999999993,-5.0
239,64.39999999999995,64.39999999999995,-5.0
240,66.59999999999997,66.59999999999997,-5.0
241,63.899999999999956,63.899999999999956,-5.0
242,63.199999999999946,63.199999999999946,-5.0
243,63.699999999999946,63.699999999999946,-5.0
244,64.09999999999994,64.09999999999994,-5.0
245,59.09999999999995,59.09999999999995,-5.0
246,55.69999999999996,55.69999999999996,-5.0
247,59.199999999999946,59.199999999999946,-5.0
248,64.69999999999996,64.69999999999996,-5.0
249,57.09999999999997,57.09999999999997,-5.0
250,62.69999999999996,62.69999999999996,-5.0
251,54.399999999999935,54.399999999999935,-5.0
252,63.39999999999997,63.39999999999997,-5.0
253,69.89999999999995,69.89999999999995,-5.0
254,63.09999999999994,63.09999999999994,-5.0
255,56.79999999999994,56.79999999999994,-5.0
256,73.09999999999997,73.09999999999997,-5.0
257,62.09999999999995,62.09999999999995,-5.0
258,61.89999999999998,61.89999999999998,-5.0
259,54.39999999999997,54.39999999999997,-5.0
260,62.09999999999996,62.09999999999996,-5.0
261,59.29999999999994,59.29999999999994,-5.0
262,66.69999999999993,66.69999999999993,-5.0
